@relation R_data_frame-weka.filters.unsupervised.instance.RemovePercentage-P50.0-weka.filters.unsupervised.instance.RemovePercentage-P50.0-V

@attribute BR {BR101,BR104,BR110,BR116,BR232,BR316,BR407,BR408,BR423,BR424,BR428}
@attribute CondPista {'Com buraco','Com Gelo','Com material granulado','Em obra',Enlameada,Escorregadia,Molhada,Oleosa,Outra,Seca}
@attribute RestrVisibili {Cartazes/faixas,'Configuração do terreno',Inexistente,Ofuscamento,Outros,Placas,Poeira/fumaça/neblina,Vegetação,'Veículo estacionado'}
@attribute TipoAcident {'Atropelamento de animal','Atropelamento de pessoa',Capotamento,'Colisão com bicicleta','Colisão com objeto fixo','Colisão com objeto móvel','Colisão frontal','Colisão lateral','Colisão Transversal','Colisão traseira','Danos Eventuais','Derramamento de Carga',Incêndio,QuedaMoto/bicla,'Saída de Pista',Tombamento}
@attribute CausaAcident {'Animais na Pista','Defeito mecânico','Defeito na via','Desobediência à sinalização',Dormindo,'Falta de atenção','Ingestão de álcool','Não guardar distância segura',Outras,'Ultrapassagem indevida','Velocidade incompatível'}
@attribute TracadoVia {Cruzamento,Curva,Reta}
@attribute TipoAuto {Automóvel,Bicicleta,Caminhão,Caminhão-Tanque,Caminhão-Trator,Caminhonete,Camioneta,Carroça,Carro-de-mao,Charrete,Ciclomotor,Microônibus,Motocicletas,Motoneta,'Não identificado','Não Informado','Não se Aplica',Ônibus,Quadriciclo,Reboque,Semi-Reboque,'Trator de esteiras','Trator de rodas','Trator misto',Triciclo,Utilitário}
@attribute DiaDaSemana {Domingo,Quarta-feira,Quinta-feira,Sábado,Segunda-feira,Sexta-feira,Terça-feira}
@attribute KMArredondado numeric
@attribute Delegacia numeric
@attribute Periodo {Madrugada,Manhã,Noite,Tarde}

@data
BR428,Seca,Inexistente,'Colisão com bicicleta','Falta de atenção',Reta,Bicicleta,Quinta-feira,190,1106,Noite
BR428,Seca,Inexistente,'Colisão Transversal','Velocidade incompatível',Curva,Caminhonete,Quinta-feira,190,1106,Tarde
BR428,Seca,Inexistente,QuedaMoto/bicla,'Velocidade incompatível',Reta,Motocicletas,Segunda-feira,190,1106,Noite
BR428,Seca,Inexistente,'Colisão lateral',Outras,Reta,Microônibus,Quinta-feira,190,1106,Noite
BR428,Seca,Inexistente,'Colisão Transversal','Falta de atenção',Reta,Motoneta,Sábado,190,1106,Noite
BR428,Seca,Inexistente,'Colisão lateral','Falta de atenção',Reta,Caminhão,Quarta-feira,191,1106,Manhã
BR428,Seca,Inexistente,'Colisão Transversal','Desobediência à sinalização',Reta,Ônibus,Quarta-feira,191,1106,Manhã
BR428,Seca,Inexistente,'Colisão lateral','Falta de atenção',Reta,Motocicletas,Quarta-feira,191,1106,Noite
BR428,Seca,Inexistente,'Colisão Transversal','Ingestão de álcool',Cruzamento,Motocicletas,Quarta-feira,191,1106,Tarde
BR428,Seca,Inexistente,'Atropelamento de pessoa','Falta de atenção',Reta,'Não se Aplica',Quinta-feira,191,1106,Noite
BR428,Seca,Inexistente,'Colisão traseira','Não guardar distância segura',Reta,Microônibus,Domingo,192,1106,Manhã
BR428,Seca,Inexistente,'Colisão traseira','Não guardar distância segura',Reta,Motocicletas,Segunda-feira,192,1106,Manhã
BR428,Seca,Inexistente,'Colisão lateral','Falta de atenção',Reta,Caminhão,Sábado,192,1106,Noite
BR428,Seca,Inexistente,'Colisão Transversal','Falta de atenção',Reta,Motocicletas,Sexta-feira,192,1106,Manhã
BR428,Seca,Inexistente,'Colisão traseira','Falta de atenção',Curva,Caminhão,Quarta-feira,192,1106,Tarde
BR428,Seca,Inexistente,'Colisão traseira','Não guardar distância segura',Reta,Ciclomotor,Domingo,192,1106,Noite
BR101,Seca,Inexistente,'Saída de Pista','Defeito mecânico',Curva,Caminhão-Trator,Sexta-feira,2,1101,Manhã
BR101,Seca,Inexistente,'Saída de Pista',Outras,Curva,Caminhão-Trator,Segunda-feira,2,1101,Manhã
BR101,Seca,Inexistente,'Colisão com objeto fixo','Defeito mecânico',Curva,Caminhão,Domingo,4,1101,Manhã
BR101,Seca,Outros,Capotamento,Outras,Reta,Automóvel,Sexta-feira,7,1101,Noite
BR101,Seca,Placas,'Saída de Pista',Outras,Reta,Automóvel,Segunda-feira,8,1101,Noite
BR101,Seca,Inexistente,'Colisão traseira','Falta de atenção',Reta,Caminhão-Trator,Domingo,80,1101,Tarde
BR101,Seca,Outros,'Saída de Pista',Outras,Reta,Automóvel,Sexta-feira,9,1101,Noite
BR101,Seca,Inexistente,'Colisão lateral',Outras,Reta,Automóvel,Quinta-feira,97,1101,Noite
BR101,Seca,Inexistente,QuedaMoto/bicla,Outras,Reta,Motocicletas,Sábado,12,1101,Manhã
BR101,Seca,Inexistente,'Colisão lateral',Dormindo,Reta,Caminhão,Quinta-feira,14,1101,Tarde
BR101,Seca,Placas,'Colisão traseira','Não guardar distância segura',Reta,Caminhonete,Domingo,17,1101,Noite
BR101,'Em obra',Ofuscamento,'Saída de Pista',Outras,Reta,Automóvel,Sábado,21,1101,Tarde
BR101,Seca,Inexistente,Capotamento,Outras,Reta,Caminhão,Segunda-feira,23,1101,Noite
BR101,Seca,Inexistente,'Saída de Pista','Defeito mecânico',Reta,Automóvel,Sábado,26,1101,Tarde
BR101,Escorregadia,Outros,'Saída de Pista','Defeito na via',Reta,Utilitário,Quarta-feira,27,1101,Noite
BR101,Seca,Inexistente,'Colisão lateral',Outras,Reta,Motoneta,Domingo,28,1101,Noite
BR101,Molhada,Inexistente,'Colisão lateral',Outras,Curva,Utilitário,Terça-feira,30,1101,Manhã
BR101,Seca,Inexistente,'Colisão lateral','Falta de atenção',Reta,Motocicletas,Sábado,33,1101,Manhã
BR101,Seca,Inexistente,'Colisão traseira','Não guardar distância segura',Reta,Automóvel,Quinta-feira,34,1101,Manhã
BR101,'Em obra',Inexistente,'Saída de Pista','Defeito na via',Reta,Caminhonete,Sexta-feira,35,1101,Tarde
BR101,Seca,Inexistente,'Colisão lateral','Falta de atenção',Reta,Caminhão,Terça-feira,37,1101,Tarde
BR101,Seca,'Configuração do terreno',QuedaMoto/bicla,'Ultrapassagem indevida',Reta,Motocicletas,Quinta-feira,37,1101,Tarde
BR101,Seca,Inexistente,'Colisão com objeto fixo','Defeito na via',Reta,Automóvel,Segunda-feira,38,1101,Manhã
BR101,Seca,Inexistente,'Colisão traseira','Ingestão de álcool',Reta,Caminhão,Terça-feira,38,1101,Tarde
BR101,Seca,Inexistente,'Saída de Pista',Outras,Curva,Automóvel,Sábado,38,1101,Madrugada
BR101,Seca,Inexistente,'Atropelamento de pessoa','Falta de atenção',Reta,'Não se Aplica',Domingo,40,1101,Noite
BR101,Seca,Inexistente,'Colisão com bicicleta','Falta de atenção',Reta,Bicicleta,Sexta-feira,41,1101,Manhã
BR101,Seca,Outros,'Colisão lateral','Não guardar distância segura',Curva,Caminhão-Trator,Sexta-feira,41,1101,Tarde
BR101,Seca,Inexistente,'Colisão traseira','Falta de atenção',Reta,Automóvel,Sábado,41,1101,Tarde
BR101,Seca,Inexistente,'Colisão lateral','Falta de atenção',Reta,Automóvel,Sexta-feira,42,1101,Tarde
BR101,Seca,Inexistente,'Colisão traseira','Não guardar distância segura',Reta,Caminhão-Trator,Sexta-feira,42,1101,Tarde
BR101,Seca,Inexistente,'Colisão traseira','Não guardar distância segura',Reta,Ônibus,Segunda-feira,43,1101,Tarde
BR101,Seca,Inexistente,'Colisão traseira','Defeito mecânico',Reta,Camioneta,Terça-feira,44,1101,Manhã
BR101,Seca,Inexistente,'Colisão traseira','Falta de atenção',Reta,Ônibus,Quinta-feira,44,1101,Manhã
BR101,Seca,Inexistente,'Colisão lateral','Falta de atenção',Reta,Caminhão-Trator,Quinta-feira,44,1101,Manhã
BR101,Seca,Inexistente,'Colisão frontal',Outras,Reta,Motocicletas,Segunda-feira,46,1101,Tarde
BR101,Seca,Inexistente,'Colisão Transversal','Falta de atenção',Reta,Caminhão,Segunda-feira,46,1101,Tarde
BR101,Seca,Inexistente,'Colisão traseira','Falta de atenção',Reta,Caminhão-Trator,Sábado,46,1101,Manhã
BR101,Seca,Inexistente,'Colisão traseira',Outras,Reta,Camioneta,Segunda-feira,46,1101,Tarde
BR101,Seca,Inexistente,'Colisão lateral','Falta de atenção',Reta,Automóvel,Quinta-feira,47,1101,Manhã
BR101,Seca,Inexistente,'Colisão lateral','Falta de atenção',Reta,Caminhão-Trator,Terça-feira,47,1101,Tarde
BR101,Seca,Inexistente,'Colisão Transversal',Outras,Reta,Ônibus,Segunda-feira,47,1101,Noite
BR101,Seca,Inexistente,'Colisão traseira','Falta de atenção',Reta,Caminhão-Trator,Terça-feira,47,1101,Tarde
BR101,Seca,Inexistente,'Colisão traseira','Falta de atenção',Reta,Ônibus,Quinta-feira,47,1101,Tarde
BR101,Seca,Inexistente,'Colisão frontal','Desobediência à sinalização',Reta,Motocicletas,Sábado,48,1101,Madrugada
BR101,Seca,Inexistente,'Colisão lateral',Outras,Reta,Caminhonete,Terça-feira,48,1101,Manhã
BR101,Seca,Inexistente,'Colisão traseira','Falta de atenção',Reta,Motocicletas,Sábado,48,1101,Manhã
