%
% ARFF data file, generated by KNIME
%
% Date: Sun Feb 05 11:28:54 BRT 2017
% User: otluiz
%

@RELATION DataTable
@ATTRIBUTE BR	INTEGER
@ATTRIBUTE CondPista	INTEGER
@ATTRIBUTE RestrVisibili	INTEGER
@ATTRIBUTE TipoAcident	INTEGER
@ATTRIBUTE CausaAcident	INTEGER
@ATTRIBUTE TracadoVia	INTEGER
@ATTRIBUTE TipoAuto	INTEGER
@ATTRIBUTE Gravidade	INTEGER
@ATTRIBUTE DiaDaSemana	INTEGER
@ATTRIBUTE Hour	INTEGER
@ATTRIBUTE KMArredondado	INTEGER
@ATTRIBUTE Delegacia	INTEGER
@ATTRIBUTE tx_RestVisibi	REAL
@ATTRIBUTE tx_CondPista	REAL
@ATTRIBUTE tx_TipoAcident	REAL
@ATTRIBUTE tx_DiaSemana	REAL
@ATTRIBUTE tx_CausaAcident	REAL
@ATTRIBUTE tx_TracadoVia	REAL
@ATTRIBUTE tx_BR	REAL
@ATTRIBUTE tx_Km	REAL

@DATA
101,1,10,1,3,4,55,1,1,16,102,1101,0.923,0.802,0.218,0.155,0.375,0.812,0.434,0.006
101,1,10,1,3,4,5,1,1,12,102,1101,0.923,0.802,0.218,0.155,0.375,0.812,0.434,0.006
101,1,10,4,6,4,5,1,4,13,102,1101,0.923,0.802,0.301,0.141,0.255,0.812,0.434,0.006
101,1,10,4,21,4,1,1,6,16,105,1101,0.923,0.802,0.301,0.14,0.089,0.812,0.434,0.005
101,1,10,4,3,4,1,1,3,16,125,1101,0.923,0.802,0.301,0.136,0.375,0.812,0.434,0.005
232,1,10,4,6,4,1,1,3,19,5,1101,0.923,0.802,0.301,0.136,0.255,0.812,0.271,0.007
232,1,10,1,6,4,1,1,5,16,9,1101,0.923,0.802,0.218,0.158,0.255,0.812,0.271,0.011
232,1,50,4,6,4,8,1,1,21,11,1101,0.026,0.802,0.301,0.155,0.255,0.812,0.271,0.004
232,1,10,10,6,12,55,1,5,6,39,1101,0.923,0.802,0.034,0.158,0.255,0.152,0.271,0.003
423,1,10,2,3,4,5,1,7,11,73,1103,0.923,0.802,0.091,0.132,0.375,0.812,0.038,0.008
428,2,10,14,6,12,8,1,7,5,74,1106,0.923,0.135,0.026,0.132,0.255,0.152,0.05,0.011
101,1,10,1,3,4,5,1,3,11,8,1101,0.923,0.802,0.218,0.136,0.375,0.812,0.434,0.011
101,1,10,16,3,4,55,1,4,16,41,1101,0.923,0.802,0.043,0.141,0.375,0.812,0.434,0.005
101,1,10,20,18,4,13,1,5,22,59,1101,0.923,0.802,0.104,0.158,0.039,0.812,0.434,0.009
101,1,10,1,3,4,1,1,5,19,67,1101,0.923,0.802,0.218,0.158,0.375,0.812,0.434,0.019
101,1,10,1,3,4,21,1,2,15,67,1101,0.923,0.802,0.218,0.137,0.375,0.812,0.434,0.019
101,2,10,10,18,4,5,1,5,13,68,1101,0.923,0.135,0.034,0.158,0.039,0.812,0.434,0.025
101,1,10,4,3,4,89,1,1,7,68,1101,0.923,0.802,0.301,0.155,0.375,0.812,0.434,0.025
101,1,10,4,3,4,5,1,1,17,68,1101,0.923,0.802,0.301,0.155,0.375,0.812,0.434,0.025
