@relation prfPeriodoTx-weka.filters.unsupervised.instance.RemovePercentage-P66.7-V

@attribute BR numeric
@attribute CondPista {Seca,'Com buraco',Molhada,'Em obra',Outra,Escorregadia,Oleosa,Enlameada,'Com material granulado','Com Gelo'}
@attribute RestrVisibili {Inexistente,Outros,'Veículo estacionado','Configuração do terreno',Poeira/fumaça/neblina,Vegetação,Ofuscamento,Cartazes/faixas,Placas}
@attribute TipoAcident {'Colisão Transversal','Colisão com objeto fixo','Atropelamento de pessoa','Colisão lateral','Colisão traseira',QuedaMoto/bicla,'Colisão com bicicleta',Capotamento,'Atropelamento de animal','Colisão frontal','Saída de Pista','Colisão com objeto móvel',Tombamento,'Derramamento de Carga','Danos Eventuais',Incêndio}
@attribute CausaAcident {Outras,'Falta de atenção','Velocidade incompatível','Ultrapassagem indevida','Desobediência à sinalização','Defeito mecânico','Animais na Pista','Não guardar distância segura',Dormindo,'Defeito na via','Ingestão de álcool'}
@attribute TracadoVia {Reta,Curva,Cruzamento}
@attribute TipoAuto {Automóvel,'Não Informado','Não se Aplica',Motocicletas,Caminhão-Trator,Camioneta,Caminhão,Bicicleta,Caminhonete,Ônibus,Microônibus,'Não identificado',Motoneta,'Trator de rodas',Triciclo,Carroça,Caminhão-Tanque,Semi-Reboque,Utilitário,Ciclomotor,Charrete,Carro-de-mao,Quadriciclo,'Trator misto',Reboque,'Trator de esteiras'}
@attribute Gravidade numeric
@attribute DiaDaSemana {Terça-feira,Domingo,Quarta-feira,Sábado,Segunda-feira,Sexta-feira,Quinta-feira}
@attribute KMArredondado numeric
@attribute Delegacia {1101.0,1102.0,1105.0,1103.0,1106.0,1104.0,NA}
@attribute probAcident numeric
@attribute Periodo {Noite,Manhã,Madrugada,Tarde}

@data
101,Seca,Inexistente,'Colisão traseira','Velocidade incompatível',Reta,Ônibus,1,Terça-feira,65,1101.0,0.261,Tarde
101,Seca,Inexistente,'Colisão traseira',Outras,Reta,Caminhão,1,Segunda-feira,66,1101.0,0.261,Manhã
101,Seca,Inexistente,'Colisão lateral',Outras,Reta,Automóvel,1,Segunda-feira,67,1101.0,0.261,Tarde
101,Seca,Inexistente,'Colisão traseira','Defeito mecânico',Reta,Caminhão,1,Segunda-feira,67,1101.0,0.261,Manhã
101,Seca,Inexistente,'Colisão lateral','Falta de atenção',Reta,Caminhão,1,Segunda-feira,67,1101.0,0.261,Manhã
101,Molhada,Inexistente,'Colisão traseira','Falta de atenção',Reta,Caminhonete,1,Quarta-feira,68,1101.0,0.044,Manhã
101,Molhada,Inexistente,'Colisão traseira','Não guardar distância segura',Reta,Caminhão,1,Quarta-feira,68,1101.0,0.044,Manhã
101,Seca,Inexistente,'Colisão traseira','Não guardar distância segura',Reta,Caminhão-Trator,1,Segunda-feira,68,1101.0,0.261,Noite
101,Molhada,Inexistente,'Colisão lateral',Dormindo,Reta,Motocicletas,1,Sexta-feira,69,1101.0,0.044,Tarde
101,Seca,'Veículo estacionado','Colisão traseira','Falta de atenção',Curva,Caminhão-Trator,1,Sexta-feira,73,1101.0,0,Madrugada
101,Seca,Inexistente,'Colisão traseira','Falta de atenção',Reta,Automóvel,1,Sábado,83,1101.0,0.261,Tarde
101,Seca,Inexistente,'Colisão traseira','Falta de atenção',Reta,Caminhão-Trator,1,Quinta-feira,83,1101.0,0.261,Noite
101,Seca,Inexistente,'Colisão lateral','Falta de atenção',Reta,Caminhonete,1,Segunda-feira,102,1101.0,0.261,Tarde
101,Seca,Inexistente,'Colisão lateral','Falta de atenção',Reta,Motocicletas,1,Segunda-feira,102,1101.0,0.261,Tarde
101,Seca,Inexistente,'Colisão traseira',Outras,Reta,Motocicletas,1,Quinta-feira,102,1101.0,0.261,Tarde
101,Seca,Inexistente,'Colisão traseira','Não guardar distância segura',Reta,Automóvel,1,Sábado,105,1101.0,0.261,Tarde
101,Seca,Inexistente,'Colisão traseira','Falta de atenção',Reta,Automóvel,1,Quarta-feira,125,1101.0,0.261,Tarde
232,Seca,Inexistente,'Colisão traseira',Outras,Reta,Automóvel,1,Quarta-feira,5,1101.0,0.163,Noite
232,Seca,Inexistente,'Colisão lateral',Outras,Reta,Automóvel,1,Sexta-feira,9,1101.0,0.163,Tarde
232,Seca,'Configuração do terreno','Colisão traseira',Outras,Reta,Caminhão-Trator,1,Segunda-feira,11,1101.0,0.005,Noite
232,Seca,Inexistente,'Colisão com objeto fixo',Outras,Curva,Caminhonete,1,Sexta-feira,39,1101.0,0.03,Manhã
423,Seca,Inexistente,'Colisão Transversal','Falta de atenção',Reta,Motocicletas,1,Domingo,73,1103.0,0.023,Manhã
428,Molhada,Inexistente,Tombamento,Outras,Curva,Caminhão-Trator,1,Domingo,74,1106.0,0.001,Manhã
101,Seca,Inexistente,'Colisão lateral','Falta de atenção',Reta,Motocicletas,1,Quarta-feira,8,1101.0,0.261,Manhã
101,Seca,Inexistente,'Colisão frontal','Falta de atenção',Reta,Caminhonete,1,Quinta-feira,41,1101.0,0.261,Tarde
101,Seca,Inexistente,'Saída de Pista','Defeito mecânico',Reta,Camioneta,1,Sexta-feira,59,1101.0,0.261,Noite
101,Seca,Inexistente,'Colisão lateral','Falta de atenção',Reta,Automóvel,1,Sexta-feira,67,1101.0,0.261,Noite
101,Seca,Inexistente,'Colisão lateral','Falta de atenção',Reta,Caminhão,1,Terça-feira,67,1101.0,0.261,Tarde
101,Molhada,Inexistente,'Colisão com objeto fixo','Defeito mecânico',Reta,Motocicletas,1,Sexta-feira,68,1101.0,0.044,Tarde
101,Seca,Inexistente,'Colisão traseira','Falta de atenção',Reta,Ônibus,1,Segunda-feira,68,1101.0,0.261,Manhã
101,Seca,Inexistente,'Colisão traseira','Falta de atenção',Reta,Motocicletas,1,Segunda-feira,68,1101.0,0.261,Tarde
101,Seca,Inexistente,'Colisão traseira','Falta de atenção',Reta,Caminhonete,1,Terça-feira,68,1101.0,0.261,Noite
101,Seca,Inexistente,'Colisão lateral','Ultrapassagem indevida',Reta,Motocicletas,1,Sábado,70,1101.0,0.261,Tarde
101,Seca,Inexistente,'Colisão traseira','Animais na Pista',Reta,Ônibus,1,Sábado,73,1101.0,0.261,Tarde
101,Seca,Inexistente,Tombamento,Outras,Curva,Caminhão,1,Sábado,83,1101.0,0.049,Madrugada
104,Seca,Inexistente,'Colisão traseira',Outras,Reta,Microônibus,1,Quarta-feira,20,1102.0,0.04,Tarde
104,Seca,Outros,'Colisão frontal',Outras,Reta,Automóvel,0,Sábado,64,1102.0,0.001,Madrugada
232,Seca,Poeira/fumaça/neblina,'Colisão traseira','Não guardar distância segura',Reta,Caminhonete,1,Segunda-feira,9,1101.0,0.001,Tarde
423,Seca,Inexistente,'Colisão traseira','Falta de atenção',Cruzamento,Caminhão,1,Terça-feira,61,1103.0,0.001,Tarde
424,Seca,Inexistente,'Colisão com bicicleta','Falta de atenção',Reta,Bicicleta,1,Sábado,26,1103.0,0.012,Manhã
101,Seca,Inexistente,'Atropelamento de pessoa',Outras,Reta,'Não se Aplica',1,Sexta-feira,68,1101.0,0.261,Tarde
101,'Em obra',Inexistente,'Colisão Transversal',Outras,Cruzamento,Caminhão,1,Terça-feira,21,1101.0,0,Noite
101,Seca,Inexistente,'Colisão frontal',Dormindo,Reta,Caminhão,1,Quarta-feira,31,1101.0,0.261,Manhã
101,Seca,Inexistente,'Colisão Transversal','Falta de atenção',Reta,Motocicletas,1,Sexta-feira,34,1101.0,0.261,Manhã
101,Seca,Inexistente,'Colisão Transversal','Falta de atenção',Cruzamento,Motocicletas,1,Domingo,34,1101.0,0.012,Noite
101,Seca,Inexistente,Capotamento,'Falta de atenção',Curva,Automóvel,1,Domingo,59,1101.0,0.049,Noite
