"BR","Gravidade","Hour","KMArredondado","tx_RestVisibi","tx_CondPista","tx_TipoAcident","tx_CausaAcident","tx_TracadoVia","DiaSemana","tx_Gravidade"
232,1,8,9,0.923,0.135,0.301,0.375,0.812,1,1.10117926
232,1,6,9,0.923,0.802,0.301,0.375,0.812,2,1.601079752
232,1,18,9,0.923,0.802,0.301,0.255,0.812,4,1.601079752
232,1,1,101,0.923,0.135,0.301,0.375,0.812,6,1.10117926
232,1,16,102,0.923,0.802,0.301,0.255,0.812,5,1.601079752
232,1,18,131,0.923,0.135,0.034,0.255,0.812,4,1.10117926
232,1,18,178,0.026,0.135,0.056,0.255,0.812,7,1.00285012
408,1,18,58,0.923,0.802,0.036,0.048,0.812,2,1.601079752
408,1,8,70,0.923,0.802,0.026,0.375,0.812,1,1.601079752
428,1,9,97,0.923,0.802,0.104,0.022,0.812,4,1.601079752
101,1,15,78,0.031,0.802,0.091,0.375,0.812,1,1.020187944
101,1,6,21,0.923,0.802,0.218,0.255,0.812,6,1.601079752
101,1,11,34,0.923,0.802,0.218,0.375,0.812,2,1.601079752
101,1,19,42,0.923,0.802,0.012,0.375,0.812,6,1.601079752
101,1,20,65,0.923,0.135,0.301,0.255,0.812,3,1.10117926
101,1,10,67,0.923,0.135,0.301,0.255,0.812,5,1.10117926
101,1,19,67,0.923,0.802,0.218,0.255,0.812,2,1.601079752
101,1,14,68,0.923,0.025,0.032,0.045,0.812,1,1.0187369
101,1,13,68,0.923,0.135,0.301,0.375,0.812,6,1.10117926
101,1,18,68,0.923,0.802,0.301,0.375,0.812,4,1.601079752
101,1,9,68,0.923,0.802,0.301,0.089,0.812,1,1.601079752
101,1,10,83,0.923,0.802,0.104,0.375,0.812,7,1.601079752
101,0,21,102,0.923,0.802,0.043,0.375,0.812,4,0.601079752
101,1,17,157,0.923,0.802,0.218,0.375,0.037,2,1.027389102
104,1,18,67,0.923,0.802,0.218,0.375,0.037,3,1.027389102
104,1,19,93,0.031,0.135,0.036,0.255,0.812,6,1.00339822
232,1,16,9,0.923,0.802,0.034,0.255,0.812,2,1.601079752
232,1,2,206,0.031,0.802,0.043,0.255,0.812,6,1.020187944
316,1,4,76,0.923,0.802,0.026,0.024,0.812,6,1.601079752
101,1,22,21,0,0.025,0.026,0.375,0.152,4,1
101,1,16,24,0.923,0.802,0.218,0.039,0.812,4,1.601079752
101,1,10,55,0.923,0.802,0.056,0.255,0.152,3,1.112517392
101,1,14,67,0.923,0.802,0.218,0.375,0.812,3,1.601079752
101,1,13,67,0.923,0.802,0.218,0.255,0.812,6,1.601079752
101,1,8,67,0.923,0.802,0.301,0.375,0.812,1,1.601079752
101,1,16,67,0.923,0.135,0.104,0.255,0.812,2,1.10117926
101,1,10,68,0.923,0.802,0.218,0.375,0.152,6,1.112517392
101,1,19,68,0.923,0.802,0.301,0.375,0.812,4,1.601079752
101,1,19,68,0.923,0.802,0.301,0.375,0.812,3,1.601079752
101,1,18,68,0.923,0.802,0.301,0.255,0.812,1,1.601079752
101,1,7,68,0.923,0.802,0.032,0.255,0.812,1,1.601079752
101,1,23,68,0.923,0.802,0.034,0.375,0.812,2,1.601079752
101,1,13,82,0.923,0.802,0.034,0.255,0.812,6,1.601079752
101,1,17,82,0.923,0.802,0.034,0.255,0.812,3,1.601079752
101,1,20,83,0.923,0.802,0.301,0.375,0.812,3,1.601079752
101,1,10,83,0.923,0.802,0.301,0.089,0.812,4,1.601079752
101,1,17,83,0.923,0.802,0.104,0.375,0.152,6,1.112517392
101,1,20,83,0.923,0.802,0.218,0.375,0.152,1,1.112517392
101,1,14,83,0.923,0.802,0.301,0.375,0.037,1,1.027389102
101,1,15,90,0.923,0.025,0.104,0.028,0.812,7,1.0187369
101,1,18,90,0.923,0.802,0.012,0.255,0.812,4,1.601079752
104,1,20,62,0.923,0.802,0.218,0.255,0.812,7,1.601079752
232,1,11,49,0.923,0.802,0.043,0.375,0.812,4,1.601079752
232,1,15,11,0.923,0.802,0.218,0.028,0.812,3,1.601079752
232,1,15,11,0.923,0.802,0.218,0.375,0.812,6,1.601079752
232,1,16,11,0.923,0.802,0.301,0.255,0.812,6,1.601079752
232,0,1,18,0.923,0.802,0.104,0.255,0.152,1,0.112517392
