@relation R_data_frame

@attribute BR numeric
@attribute Gravidade numeric
@attribute Hour numeric
@attribute KMArredondado numeric
@attribute tx_RestVisibi numeric
@attribute tx_CondPista numeric
@attribute tx_TipoAcident numeric
@attribute tx_CausaAcident numeric
@attribute tx_TracadoVia numeric
@attribute DiaSemana numeric
@attribute Periodo numeric
@attribute tx_Gravidade numeric

@data
101,1,4,73,0.003,0.802,0.301,0.375,0.152,5,1,1.777
101,1,15,83,0.923,0.802,0.301,0.375,0.812,6,3,3.06
101,1,19,83,0.923,0.802,0.301,0.375,0.812,4,4,3.06
101,1,16,102,0.923,0.802,0.218,0.375,0.812,1,3,3.06
101,1,12,102,0.923,0.802,0.218,0.375,0.812,1,3,3.06
101,1,13,102,0.923,0.802,0.301,0.255,0.812,4,3,3.06
101,1,16,105,0.923,0.802,0.301,0.089,0.812,6,3,3.06
101,1,16,125,0.923,0.802,0.301,0.375,0.812,3,3,3.06
101,1,11,8,0.923,0.802,0.218,0.375,0.812,3,2,3.06
101,1,16,41,0.923,0.802,0.043,0.375,0.812,4,3,3.06
101,1,22,59,0.923,0.802,0.104,0.039,0.812,5,4,3.06
101,1,19,67,0.923,0.802,0.218,0.375,0.812,5,4,3.06
101,1,15,67,0.923,0.802,0.218,0.375,0.812,2,3,3.06
101,1,13,68,0.923,0.135,0.034,0.039,0.812,5,3,2.518
101,1,7,68,0.923,0.802,0.301,0.375,0.812,1,2,3.06
101,1,17,68,0.923,0.802,0.301,0.375,0.812,1,3,3.06
101,1,18,68,0.923,0.802,0.301,0.375,0.812,2,4,3.06
101,1,13,70,0.923,0.802,0.218,0.024,0.812,6,3,3.06
101,1,17,73,0.923,0.802,0.301,0.048,0.812,6,3,3.06
101,1,4,83,0.923,0.802,0.026,0.255,0.152,6,1,2.524
101,1,15,68,0.923,0.802,0.034,0.255,0.812,5,3,3.06
101,1,18,21,0.923,0.018,0.091,0.255,0.037,2,4,1.794
101,1,6,31,0.923,0.802,0.043,0.022,0.812,3,2,3.06
101,1,6,34,0.923,0.802,0.091,0.375,0.812,5,2,3.06
101,1,21,34,0.923,0.802,0.091,0.375,0.037,7,4,2.431
101,1,20,59,0.923,0.802,0.056,0.375,0.152,7,4,2.524
101,1,18,67,0.923,0.802,0.218,0.375,0.812,2,4,3.06
101,1,18,68,0.923,0.802,0.218,0.375,0.812,4,4,3.06
101,1,17,68,0.923,0.802,0.301,0.089,0.812,4,3,3.06
101,1,12,82,0.923,0.802,0.012,0.255,0.812,7,3,3.06
101,1,13,82,0.923,0.802,0.218,0.375,0.812,7,3,3.06
101,1,6,103,0.923,0.802,0.218,0.255,0.152,5,2,2.524
101,1,17,116,0.923,0.802,0.301,0.039,0.812,5,3,3.06
101,1,20,32,0.923,0.135,0.034,0.255,0.812,6,4,2.518
101,1,11,41,0.923,0.802,0.301,0.255,0.812,3,2,3.06
101,1,13,51,0.923,0.802,0.218,0.375,0.812,4,3,3.06
101,1,7,68,0.923,0.802,0.043,0.375,0.152,2,2,2.524
101,1,17,68,0.923,0.802,0.301,0.375,0.152,2,3,2.524
101,1,7,70,0.923,0.802,0.032,0.255,0.812,1,2,3.06
101,1,8,76,0.923,0.135,0.301,0.375,0.812,6,2,2.518
101,1,7,83,0.923,0.802,0.218,0.375,0.812,3,2,3.06
101,1,7,102,0.923,0.802,0.301,0.375,0.812,5,2,3.06
101,1,16,136,0.923,0.802,0.043,0.375,0.152,2,3,2.524
101,1,9,21,0.923,0.802,0.301,0.375,0.812,4,2,3.06
101,1,5,42,0.031,0.135,0.301,0.255,0.812,6,2,1.794
101,1,17,42,0.923,0.802,0.301,0.089,0.812,5,3,3.06
101,1,18,42,0.923,0.802,0.301,0.255,0.812,7,4,3.06
101,1,6,67,0.923,0.802,0.006,0.375,0.812,5,2,3.06
101,1,7,68,0.923,0.135,0.301,0.375,0.812,2,2,2.518
101,1,7,68,0.923,0.135,0.301,0.375,0.812,3,2,2.518
101,1,9,68,0.923,0.802,0.301,0.375,0.812,4,2,3.06
101,1,19,68,0.923,0.802,0.301,0.375,0.812,4,4,3.06
101,1,21,68,0.923,0.802,0.032,0.028,0.812,6,4,3.06
101,1,14,83,0.001,0.802,0.012,0.375,0.812,2,3,2.311
101,1,7,83,0.923,0.802,0.218,0.375,0.812,4,2,3.06
101,1,16,83,0.923,0.802,0.218,0.375,0.812,3,3,3.06
101,1,10,149,0.923,0.025,0.104,0.028,0.812,6,2,2.429
101,1,10,149,0.923,0.025,0.104,0.028,0.812,1,2,2.429
101,1,17,48,0.923,0.802,0.034,0.375,0.812,2,3,3.06
101,1,18,8,0.923,0.018,0.091,0.375,0.812,7,4,2.423
101,1,21,42,0.923,0.802,0.301,0.038,0.812,5,4,3.06
101,1,17,59,0.923,0.135,0.218,0.028,0.812,2,3,2.518
101,1,14,67,0.923,0.802,0.301,0.375,0.812,3,3,3.06
101,1,13,68,0.923,0.025,0.218,0.039,0.812,6,3,2.429
101,1,20,68,0.923,0.025,0.032,0.028,0.812,7,4,2.429
101,1,12,68,0.923,0.135,0.301,0.375,0.812,6,3,2.518
101,1,16,68,0.923,0.802,0.012,0.255,0.812,6,3,3.06
101,1,10,68,0.923,0.025,0.104,0.024,0.812,4,2,2.429
101,1,11,73,0.923,0.025,0.301,0.028,0.812,2,2,2.429
101,1,7,73,0.923,0.802,0.218,0.375,0.812,1,2,3.06
101,1,7,73,0.923,0.135,0.301,0.089,0.812,6,2,2.518
101,1,14,76,0.923,0.802,0.218,0.089,0.812,2,3,3.06
101,1,16,83,0.923,0.135,0.026,0.255,0.812,6,3,2.518
101,1,9,111,0.923,0.025,0.104,0.028,0.152,4,2,1.893
101,1,9,34,0.923,0.802,0.091,0.375,0.812,7,2,3.06
101,1,8,42,0.923,0.802,0.043,0.255,0.812,2,2,3.06
101,1,19,67,0.923,0.135,0.301,0.375,0.812,3,4,2.518
101,1,7,68,0.923,0.802,0.034,0.255,0.812,2,2,3.06
101,1,21,70,0.031,0.025,0.026,0.028,0.812,3,4,1.705
101,1,19,73,0.923,0.135,0.104,0.255,0.152,1,4,1.983
101,1,14,83,0.923,0.802,0.218,0.375,0.812,1,3,3.06
101,1,18,83,0.923,0.802,0.218,0.375,0.037,4,4,2.431
101,1,18,83,0.923,0.802,0.218,0.375,0.812,1,4,3.06
101,1,18,83,0.923,0.802,0.218,0.375,0.812,1,4,3.06
101,1,6,83,0.923,0.802,0.104,0.255,0.812,7,2,3.06
101,1,13,102,0.923,0.802,0.104,0.022,0.152,7,3,2.524
101,1,21,102,0.923,0.802,0.218,0.038,0.812,4,4,3.06
101,1,15,78,0.031,0.802,0.091,0.375,0.812,1,3,2.336
101,1,6,21,0.923,0.802,0.218,0.255,0.812,6,2,3.06
101,1,11,34,0.923,0.802,0.218,0.375,0.812,2,2,3.06
101,1,19,42,0.923,0.802,0.012,0.375,0.812,6,4,3.06
101,1,20,65,0.923,0.135,0.301,0.255,0.812,3,4,2.518
101,1,10,67,0.923,0.135,0.301,0.255,0.812,5,2,2.518
101,1,19,67,0.923,0.802,0.218,0.255,0.812,2,4,3.06
101,1,14,68,0.923,0.025,0.032,0.045,0.812,1,3,2.429
101,1,13,68,0.923,0.135,0.301,0.375,0.812,6,3,2.518
101,1,18,68,0.923,0.802,0.301,0.375,0.812,4,4,3.06
101,1,9,68,0.923,0.802,0.301,0.089,0.812,1,2,3.06
101,1,10,83,0.923,0.802,0.104,0.375,0.812,7,2,3.06
101,0,21,102,0.923,0.802,0.043,0.375,0.812,4,4,2.06
101,1,17,157,0.923,0.802,0.218,0.375,0.037,2,3,2.431
101,1,22,21,0,0.025,0.026,0.375,0.152,4,4,1.144
101,1,16,24,0.923,0.802,0.218,0.039,0.812,4,3,3.06
101,1,10,55,0.923,0.802,0.056,0.255,0.152,3,2,2.524
101,1,14,67,0.923,0.802,0.218,0.375,0.812,3,3,3.06
101,1,13,67,0.923,0.802,0.218,0.255,0.812,6,3,3.06
101,1,8,67,0.923,0.802,0.301,0.375,0.812,1,2,3.06
101,1,16,67,0.923,0.135,0.104,0.255,0.812,2,3,2.518
101,1,10,68,0.923,0.802,0.218,0.375,0.152,6,2,2.524
101,1,19,68,0.923,0.802,0.301,0.375,0.812,4,4,3.06
101,1,19,68,0.923,0.802,0.301,0.375,0.812,3,4,3.06
101,1,18,68,0.923,0.802,0.301,0.255,0.812,1,4,3.06
101,1,7,68,0.923,0.802,0.032,0.255,0.812,1,2,3.06
101,1,23,68,0.923,0.802,0.034,0.375,0.812,2,4,3.06
101,1,13,82,0.923,0.802,0.034,0.255,0.812,6,3,3.06
101,1,17,82,0.923,0.802,0.034,0.255,0.812,3,3,3.06
101,1,20,83,0.923,0.802,0.301,0.375,0.812,3,4,3.06
101,1,10,83,0.923,0.802,0.301,0.089,0.812,4,2,3.06
101,1,17,83,0.923,0.802,0.104,0.375,0.152,6,3,2.524
101,1,20,83,0.923,0.802,0.218,0.375,0.152,1,4,2.524
101,1,14,83,0.923,0.802,0.301,0.375,0.037,1,3,2.431
101,1,15,90,0.923,0.025,0.104,0.028,0.812,7,3,2.429
101,1,18,90,0.923,0.802,0.012,0.255,0.812,4,4,3.06
101,1,11,7,0.923,0.802,0.301,0.375,0.812,6,2,3.06
101,1,15,21,0.923,0.802,0.043,0.375,0.812,6,3,3.06
101,1,18,21,0.923,0.802,0.091,0.255,0.812,5,4,3.06
101,1,4,24,0.031,0.802,0.301,0.024,0.812,5,1,2.336
101,1,19,30,0.923,0.802,0.091,0.255,0.812,7,4,3.06
101,1,10,30,0.923,0.802,0.301,0.375,0.812,2,2,3.06
101,1,9,67,0.923,0.802,0.218,0.024,0.812,5,2,3.06
101,1,18,68,0.923,0.802,0.218,0.375,0.152,7,4,2.524
101,1,8,68,0.923,0.802,0.301,0.375,0.152,2,2,2.524
101,1,9,68,0.923,0.802,0.301,0.089,0.812,3,2,3.06
101,1,12,68,0.923,0.802,0.301,0.255,0.812,4,3,3.06
101,1,7,68,0.923,0.802,0.301,0.255,0.812,3,2,3.06
101,1,8,70,0.923,0.802,0.301,0.375,0.812,2,2,3.06
101,1,7,73,0.031,0.802,0.012,0.255,0.812,3,2,2.336
101,1,18,83,0.923,0.802,0.218,0.375,0.812,3,4,3.06
101,1,15,83,0.923,0.802,0.301,0.375,0.812,4,3,3.06
101,1,15,83,0.923,0.802,0.032,0.039,0.812,4,3,3.06
101,1,6,102,0.923,0.025,0.301,0.375,0.812,1,2,2.429
101,1,9,102,0.923,0.802,0.218,0.375,0.812,5,2,3.06
101,1,6,125,0.923,0.802,0.301,0.255,0.812,4,2,3.06
101,1,20,163,0.923,0.802,0.026,0.255,0.812,7,4,3.06
101,1,19,21,0.923,0.802,0.043,0.375,0.812,7,4,3.06
101,1,11,41,0.923,0.802,0.091,0.375,0.812,4,2,3.06
101,1,16,42,0.026,0.802,0.301,0.039,0.152,2,3,1.796
101,1,21,64,0.923,0.802,0.026,0.375,0.812,7,4,3.06
101,1,20,67,0.923,0.802,0.218,0.375,0.812,1,4,3.06
101,1,15,67,0.923,0.802,0.218,0.255,0.812,6,3,3.06
101,1,17,67,0.923,0.802,0.301,0.255,0.812,5,3,3.06
101,1,5,68,0.923,0.802,0.034,0.255,0.812,5,2,3.06
101,1,8,68,0.923,0.802,0.301,0.089,0.812,4,2,3.06
101,1,12,68,0.923,0.802,0.301,0.255,0.812,2,3,3.06
101,1,10,83,0.923,0.802,0.218,0.255,0.812,3,2,3.06
101,1,18,83,0.923,0.802,0.091,0.255,0.812,4,4,3.06
101,1,15,83,0.923,0.018,0.032,0.028,0.812,5,3,2.423
101,1,3,97,0.923,0.018,0.043,0.375,0.812,7,1,2.423
101,1,20,102,0.923,0.802,0.091,0.038,0.812,5,4,3.06
101,1,15,102,0.923,0.802,0.301,0.255,0.812,5,3,3.06
101,1,7,128,0.923,0.802,0.301,0.089,0.812,6,2,3.06
101,1,19,21,0.923,0.802,0.091,0.375,0.812,7,4,3.06
101,1,23,42,0.923,0.135,0.012,0.255,0.812,7,4,2.518
101,1,23,58,0.923,0.802,0.091,0.375,0.812,6,4,3.06
101,1,12,67,0.923,0.135,0.301,0.375,0.812,3,3,2.518
101,1,8,68,0.923,0.802,0.301,0.375,0.037,5,2,2.431
101,1,14,68,0.923,0.802,0.301,0.089,0.152,1,3,2.524
101,1,16,68,0.923,0.802,0.301,0.255,0.037,2,3,2.431
101,1,9,68,0.923,0.802,0.301,0.255,0.812,1,2,3.06
101,1,10,68,0.923,0.802,0.301,0.255,0.812,1,2,3.06
101,1,18,73,0.923,0.802,0.036,0.048,0.812,4,4,3.06
101,0,21,77,0.923,0.802,0.056,0.255,0.812,3,4,2.06
101,1,7,83,0.923,0.802,0.301,0.089,0.812,1,2,3.06
101,1,21,87,0.923,0.802,0.034,0.048,0.812,4,4,3.06
101,1,15,111,0.923,0.802,0.301,0.375,0.812,4,3,3.06
101,1,12,116,0.923,0.802,0.091,0.375,0.812,6,3,3.06
101,1,11,116,0.923,0.802,0.091,0.375,0.812,6,2,3.06
101,1,6,125,0.923,0.135,0.301,0.255,0.812,3,2,2.518
101,1,9,136,0.923,0.018,0.301,0.255,0.812,2,2,2.423
101,1,20,137,0.923,0.802,0.218,0.255,0.152,5,4,2.524
101,1,0,85,0.923,0.802,0.043,0.375,0.812,3,1,3.06
101,1,18,21,0.923,0.802,0.056,0.024,0.812,3,4,3.06
101,1,10,21,0.923,0.802,0.091,0.375,0.812,7,2,3.06
101,1,9,21,0.923,0.802,0.301,0.089,0.812,4,2,3.06
101,1,9,21,0.923,0.802,0.301,0.375,0.812,3,2,3.06
101,1,7,24,0.923,0.802,0.043,0.375,0.152,6,2,2.524
101,1,6,24,0.923,0.802,0.034,0.039,0.152,4,2,2.524
101,1,7,42,0.923,0.802,0.218,0.024,0.812,3,2,3.06
101,1,15,59,0.923,0.802,0.301,0.255,0.152,6,3,2.524
101,1,14,67,0.923,0.802,0.218,0.375,0.812,5,3,3.06
101,1,12,67,0.923,0.802,0.032,0.255,0.812,2,3,3.06
101,1,15,68,0.031,0.802,0.301,0.037,0.152,5,3,1.8
101,1,18,68,0.923,0.802,0.301,0.375,0.812,5,4,3.06
101,1,15,68,0.923,0.802,0.301,0.089,0.812,5,3,3.06
101,1,18,68,0.923,0.802,0.301,0.089,0.152,4,4,2.524
101,1,20,68,0.923,0.802,0.301,0.089,0.812,5,4,3.06
101,1,5,68,0.923,0.802,0.034,0.022,0.812,7,2,3.06
101,1,8,69,0.923,0.802,0.218,0.255,0.812,6,2,3.06
101,1,9,70,0.923,0.009,0.034,0.255,0.812,1,2,2.416
101,1,10,71,0.923,0.135,0.301,0.375,0.812,1,2,2.518
101,1,8,76,0.923,0.802,0.301,0.375,0.812,6,2,3.06
101,1,20,82,0.923,0.802,0.218,0.255,0.812,2,4,3.06
101,1,9,82,0.923,0.802,0.301,0.375,0.037,5,2,2.431
101,1,13,83,0.923,0.802,0.301,0.375,0.812,2,3,3.06
101,1,17,83,0.923,0.802,0.301,0.375,0.812,5,3,3.06
101,1,21,102,0.923,0.802,0.104,0.255,0.812,7,4,3.06
101,1,8,102,0.923,0.802,0.218,0.375,0.812,4,2,3.06
101,0,17,1,0.923,0.802,0.301,0.375,0.812,4,3,2.06
101,1,14,9,0.923,0.802,0.218,0.375,0.812,3,3,3.06
101,1,12,42,0.923,0.802,0.091,0.255,0.152,5,3,2.524
101,1,7,52,0.923,0.802,0.091,0.375,0.812,3,2,3.06
101,1,21,55,0.923,0.802,0.301,0.255,0.812,5,4,3.06
101,1,17,67,0.923,0.802,0.301,0.375,0.812,6,3,3.06
101,1,22,67,0.923,0.802,0.032,0.375,0.812,3,4,3.06
101,1,21,68,0.923,0.135,0.301,0.375,0.812,6,4,2.518
101,1,9,68,0.923,0.802,0.301,0.375,0.152,1,2,2.524
101,1,18,68,0.923,0.802,0.301,0.375,0.812,1,4,3.06
101,1,8,68,0.923,0.802,0.301,0.255,0.812,2,2,3.06
101,1,18,68,0.923,0.802,0.301,0.255,0.812,5,4,3.06
101,1,17,70,0.923,0.135,0.032,0.255,0.812,1,3,2.518
101,1,11,73,0.923,0.802,0.301,0.089,0.812,6,2,3.06
101,1,8,83,0.923,0.135,0.004,0.028,0.812,1,2,2.518
101,1,21,83,0.923,0.009,0.104,0.255,0.037,1,4,1.787
101,1,9,85,0.923,0.135,0.301,0.048,0.812,1,2,2.518
101,1,15,146,0.026,0.025,0.218,0.375,0.812,2,3,1.701
101,1,4,36,0.923,0.802,0.301,0.022,0.812,7,1,3.06
101,1,17,68,0.923,0.135,0.301,0.089,0.812,7,3,2.518
101,1,9,68,0.923,0.802,0.301,0.375,0.812,5,2,3.06
101,1,12,68,0.923,0.802,0.301,0.375,0.812,4,3,3.06
101,1,19,68,0.923,0.802,0.301,0.089,0.812,2,4,3.06
101,1,10,69,0.923,0.135,0.218,0.255,0.812,1,2,2.518
101,1,10,82,0.923,0.802,0.218,0.375,0.812,3,2,3.06
101,1,5,83,0.923,0.135,0.056,0.039,0.037,5,2,1.889
101,1,20,83,0.923,0.802,0.218,0.375,0.812,2,4,3.06
101,1,17,83,0.923,0.802,0.301,0.375,0.152,4,3,2.524
101,1,14,83,0.923,0.802,0.301,0.089,0.812,5,3,3.06
101,1,5,83,0.923,0.802,0.104,0.255,0.152,6,2,2.524
101,1,15,102,0.923,0.802,0.043,0.255,0.812,7,3,3.06
101,1,10,103,0.923,0.802,0.218,0.375,0.812,2,2,3.06
101,1,15,125,0.923,0.802,0.301,0.375,0.812,6,3,3.06
101,1,6,8,0.923,0.802,0.091,0.375,0.812,2,2,3.06
101,1,13,24,0.031,0.802,0.104,0.375,0.812,4,3,2.336
101,1,4,38,0.923,0.135,0.056,0.255,0.152,1,1,1.983
101,0,14,47,0.923,0.802,0.034,0.375,0.812,7,3,2.06
101,1,15,51,0.923,0.802,0.301,0.255,0.812,4,3,3.06
101,1,6,64,0.923,0.135,0.034,0.255,0.812,4,2,2.518
101,1,16,67,0.923,0.802,0.218,0.375,0.812,5,3,3.06
101,1,8,67,0.923,0.802,0.218,0.089,0.812,2,2,3.06
101,1,9,68,0.923,0.025,0.301,0.375,0.812,1,2,2.429
101,1,16,68,0.923,0.135,0.301,0.255,0.812,5,3,2.518
101,1,15,68,0.923,0.135,0.032,0.028,0.812,7,3,2.518
101,1,14,68,0.923,0.802,0.218,0.375,0.812,1,3,3.06
101,1,9,68,0.923,0.802,0.301,0.375,0.812,5,2,3.06
101,1,18,68,0.923,0.802,0.301,0.375,0.812,2,4,3.06
101,1,11,68,0.923,0.802,0.301,0.089,0.812,3,2,3.06
101,1,19,68,0.923,0.009,0.301,0.375,0.812,4,4,2.416
101,1,14,68,0.923,0.802,0.301,0.089,0.812,4,3,3.06
101,1,16,68,0.923,0.802,0.301,0.089,0.812,4,3,3.06
101,1,18,69,0.923,0.802,0.301,0.255,0.812,1,4,3.06
101,1,13,83,0.923,0.802,0.104,0.039,0.812,5,3,3.06
101,1,20,125,0.923,0.018,0.218,0.255,0.812,6,4,2.423
101,1,0,208,0.923,0.802,0.301,0.375,0.812,4,1,3.06
101,1,14,8,0.923,0.802,0.091,0.375,0.812,5,3,3.06
101,1,15,21,0.923,0.802,0.301,0.375,0.812,2,3,3.06
101,1,10,21,0.923,0.802,0.218,0.255,0.037,7,2,2.431
101,1,8,36,0.923,0.802,0.301,0.255,0.812,3,2,3.06
101,1,8,38,0.923,0.135,0.218,0.255,0.812,1,2,2.518
101,0,10,52,0.923,0.802,0.301,0.038,0.037,6,2,1.431
101,1,7,67,0.923,0.802,0.301,0.375,0.812,4,2,3.06
101,1,12,68,0.923,0.025,0.301,0.375,0.812,3,3,2.429
101,1,9,68,0.923,0.135,0.301,0.375,0.812,2,2,2.518
101,1,11,68,0.923,0.135,0.301,0.375,0.812,2,2,2.518
101,1,15,68,0.923,0.802,0.301,0.048,0.812,1,3,3.06
101,1,15,68,0.923,0.802,0.301,0.375,0.812,1,3,3.06
101,1,8,71,0.923,0.802,0.004,0.039,0.152,3,2,2.524
101,1,13,73,0.923,0.802,0.104,0.255,0.152,4,3,2.524
101,1,3,76,0.923,0.802,0.104,0.255,0.152,7,1,2.524
101,1,7,82,0.923,0.802,0.301,0.375,0.812,3,2,3.06
101,1,19,83,0.031,0.135,0.218,0.255,0.812,4,4,1.794
101,1,18,83,0.923,0.135,0.218,0.255,0.812,1,4,2.518
101,1,8,83,0.026,0.802,0.091,0.038,0.152,4,2,1.796
101,1,11,83,0.923,0.802,0.218,0.375,0.812,5,2,3.06
101,1,11,83,0.923,0.802,0.091,0.375,0.812,3,2,3.06
101,1,19,83,0.923,0.802,0.301,0.375,0.812,5,4,3.06
101,1,0,83,0.923,0.802,0.056,0.255,0.152,7,1,2.524
101,1,17,92,0.923,0.135,0.012,0.375,0.812,7,3,2.518
101,1,18,102,0.923,0.802,0.091,0.375,0.812,5,4,3.06
101,1,10,8,0.923,0.135,0.091,0.375,0.812,6,2,2.518
101,1,11,8,0.923,0.802,0.218,0.375,0.812,2,2,3.06
101,1,16,21,0.923,0.802,0.301,0.375,0.812,5,3,3.06
101,1,8,21,0.923,0.802,0.104,0.255,0.812,7,2,3.06
101,1,11,30,0.923,0.802,0.301,0.375,0.812,3,2,3.06
101,1,17,42,0.923,0.802,0.218,0.375,0.812,2,3,3.06
101,1,13,42,0.923,0.802,0.091,0.375,0.812,7,3,3.06
101,1,16,68,0.923,0.802,0.218,0.024,0.812,3,3,3.06
101,1,9,68,0.923,0.802,0.301,0.039,0.812,2,2,3.06
101,1,10,68,0.923,0.802,0.301,0.375,0.812,4,2,3.06
101,1,19,68,0.923,0.802,0.301,0.375,0.812,1,4,3.06
101,1,14,82,0.923,0.802,0.218,0.375,0.037,4,3,2.431
101,1,11,83,0.923,0.135,0.218,0.255,0.812,6,2,2.518
101,1,11,83,0.923,0.135,0.301,0.375,0.812,6,2,2.518
101,1,15,83,0.923,0.135,0.301,0.375,0.037,7,3,1.889
101,1,17,83,0.923,0.802,0.218,0.375,0.152,3,3,2.524
101,1,15,83,0.923,0.802,0.301,0.089,0.812,2,3,3.06
101,1,17,83,0.923,0.802,0.301,0.255,0.812,2,3,3.06
101,1,6,102,0.923,0.135,0.026,0.255,0.037,4,2,1.889
101,0,21,8,0.923,0.802,0.036,0.048,0.812,6,4,2.06
101,1,20,21,0.923,0.135,0.056,0.255,0.812,3,4,2.518
101,1,18,42,0.923,0.802,0.104,0.255,0.812,6,4,3.06
101,1,6,51,0.923,0.802,0.012,0.375,0.812,2,2,3.06
101,1,15,51,0.923,0.802,0.091,0.375,0.812,3,3,3.06
101,1,21,67,0.923,0.802,0.301,0.037,0.812,1,4,3.06
101,1,19,67,0.923,0.802,0.218,0.089,0.812,4,4,3.06
101,1,6,68,0.923,0.802,0.218,0.039,0.812,5,2,3.06
101,1,8,68,0.923,0.802,0.301,0.375,0.812,1,2,3.06
101,1,17,69,0.923,0.802,0.218,0.375,0.812,2,3,3.06
101,1,16,69,0.923,0.802,0.301,0.375,0.812,4,3,3.06
101,1,18,70,0.026,0.802,0.301,0.375,0.812,5,4,2.332
101,1,6,78,0.923,0.135,0.026,0.255,0.812,7,2,2.518
101,1,19,83,0.923,0.802,0.026,0.028,0.152,5,4,2.524
101,1,18,83,0.923,0.802,0.218,0.375,0.812,5,4,3.06
101,1,18,83,0.923,0.802,0.218,0.255,0.812,2,4,3.06
101,1,7,83,0.923,0.802,0.218,0.375,0.812,2,2,3.06
101,1,18,83,0.923,0.802,0.218,0.255,0.152,2,4,2.524
101,1,20,90,0.923,0.009,0.026,0.089,0.812,4,4,2.416
101,1,23,102,0.923,0.802,0.218,0.024,0.812,4,4,3.06
101,1,5,128,0.923,0.802,0.218,0.255,0.812,6,2,3.06
101,0,11,135,0.923,0.802,0.301,0.375,0.812,6,2,2.06
101,0,18,149,0.923,0.802,0.301,0.255,0.812,6,4,2.06
101,0,22,6,0.923,0.802,0.301,0.255,0.812,2,4,2.06
101,0,20,8,0.923,0.802,0.301,0.375,0.812,1,4,2.06
101,1,9,9,0.923,0.802,0.301,0.375,0.812,6,2,3.06
101,0,21,9,0.923,0.802,0.301,0.375,0.812,1,4,2.06
101,1,14,24,0.923,0.802,0.218,0.024,0.812,3,3,3.06
101,0,14,34,0.923,0.802,0.091,0.255,0.152,5,3,1.524
101,1,13,42,0.001,0.802,0.091,0.375,0.812,4,3,2.311
101,1,22,42,0.026,0.802,0.026,0.028,0.812,1,4,2.332
101,0,16,44,0.923,0.802,0.091,0.375,0.812,2,3,2.06
101,1,5,51,0.011,0.802,0.218,0.375,0.812,3,2,2.32
101,0,19,53,0.923,0.802,0.218,0.375,0.812,1,4,2.06
101,0,22,61,0.923,0.802,0.301,0.375,0.812,7,4,2.06
101,1,7,67,0.923,0.802,0.218,0.375,0.812,5,2,3.06
101,0,7,68,0.923,0.802,0.218,0.375,0.812,4,2,2.06
101,1,23,68,0.026,0.802,0.218,0.375,0.812,6,4,2.332
