@relation R_data_frame

@attribute BR numeric
@attribute Gravidade numeric
@attribute Hour numeric
@attribute KMArredondado numeric
@attribute tx_RestVisibi numeric
@attribute tx_CondPista numeric
@attribute tx_TipoAcident numeric
@attribute tx_CausaAcident numeric
@attribute tx_TracadoVia numeric
@attribute DiaSemana numeric
@attribute Periodo numeric
@attribute tx_Gravidade numeric

@data
101,1,18,21,0.923,0.802,0.091,0.255,0.812,2,4,3.06
101,1,8,42,0.923,0.802,0.091,0.375,0.812,2,2,3.06
101,1,0,47,0.923,0.802,0.034,0.255,0.812,7,1,3.06
101,1,0,51,0.923,0.802,0.034,0.255,0.812,3,1,3.06
101,1,19,51,0.923,0.802,0.091,0.375,0.812,6,4,3.06
101,1,14,55,0.923,0.802,0.218,0.375,0.812,2,3,3.06
101,1,23,59,0.923,0.802,0.218,0.037,0.152,7,4,2.524
101,1,8,68,0.923,0.802,0.218,0.375,0.037,1,2,2.431
101,1,15,68,0.923,0.802,0.218,0.024,0.812,3,3,3.06
101,1,14,68,0.923,0.802,0.301,0.375,0.812,5,3,3.06
101,1,19,68,0.923,0.802,0.032,0.255,0.812,2,4,3.06
101,1,21,68,0.923,0.802,0.032,0.037,0.812,4,4,3.06
101,1,7,83,0.923,0.802,0.301,0.375,0.812,5,2,3.06
101,1,14,83,0.923,0.802,0.032,0.255,0.812,1,3,3.06
101,1,6,87,0.923,0.802,0.301,0.375,0.812,7,2,3.06
101,1,17,102,0.923,0.802,0.218,0.375,0.812,6,3,3.06
101,1,21,102,0.923,0.025,0.218,0.255,0.812,7,4,2.429
101,1,15,102,0.923,0.802,0.012,0.375,0.812,3,3,3.06
101,1,18,102,0.923,0.802,0.218,0.375,0.812,5,4,3.06
101,1,10,8,0.923,0.802,0.301,0.375,0.812,6,2,3.06
101,1,23,34,0.031,0.135,0.034,0.037,0.812,3,4,1.794
101,1,21,36,0.031,0.025,0.218,0.024,0.812,6,4,1.705
101,1,4,36,0.923,0.802,0.104,0.255,0.812,7,1,3.06
101,1,19,65,0.923,0.802,0.301,0.375,0.812,6,4,3.06
101,1,0,65,0.923,0.135,0.006,0.048,0.812,1,1,2.518
101,1,17,65,0.923,0.802,0.301,0.037,0.812,2,3,3.06
101,1,9,66,0.923,0.802,0.301,0.255,0.812,1,2,3.06
101,1,16,67,0.923,0.802,0.218,0.255,0.812,1,3,3.06
101,1,8,67,0.923,0.802,0.301,0.039,0.812,1,2,3.06
101,1,9,67,0.923,0.802,0.218,0.375,0.812,1,2,3.06
101,1,9,68,0.923,0.135,0.301,0.375,0.812,3,2,2.518
101,1,9,68,0.923,0.135,0.301,0.089,0.812,3,2,2.518
101,1,18,68,0.923,0.802,0.301,0.089,0.812,1,4,3.06
101,1,15,69,0.923,0.135,0.218,0.022,0.812,5,3,2.518
